Regime,Label,Theme,run,Avg_Reward,Std_Reward,Avg_Alignment,Std_Alignment,N_agents
baseline_enforced,V_Baseline_Enforced,Baseline,0,1178.8,79.44641800190449,0.6003350000000001,0.15919559417758883,10
baseline_enforced,V_Baseline_Enforced,Baseline,1,1186.2,73.47531709507774,0.6104430000000001,0.13645118981200244,10
baseline_enforced,V_Baseline_Enforced,Baseline,2,1206.7,84.22331427025813,0.551968,0.13590151743082196,10
baseline_enforced,V_Baseline_Enforced,Baseline,3,1194.2,70.28165558032275,0.5359990000000001,0.11092983212123078,10
baseline_enforced,V_Baseline_Enforced,Baseline,4,1139.2,86.5547995973264,0.655649,0.16519102460484952,10
baseline_enforced,V_Baseline_Enforced,Baseline,5,1209.3,56.72947499610175,0.5534789999999999,0.09050767204435704,10
baseline_enforced,V_Baseline_Enforced,Baseline,6,1147.4,110.96465903861262,0.67961,0.16752945578481282,10
baseline_enforced,V_Baseline_Enforced,Baseline,7,1148.0,77.43814736075926,0.5786260000000001,0.15334513984980275,10
baseline_enforced,V_Baseline_Enforced,Baseline,8,1199.6,65.34897771877452,0.6125679999999999,0.1408658931829214,10
baseline_enforced,V_Baseline_Enforced,Baseline,9,1130.5,65.04229393248673,0.6767840000000002,0.14853276879007016,10
baseline_enforced,V_Baseline_Enforced,Baseline,10,1124.5,99.56377074239627,0.7038559999999999,0.1756388315834514,10
baseline_enforced,V_Baseline_Enforced,Baseline,11,1110.4,51.58208129875249,0.724478,0.13244923805829245,10
baseline_enforced,V_Baseline_Enforced,Baseline,12,1154.3,83.18393274344912,0.6873729999999999,0.1361643166708681,10
baseline_enforced,V_Baseline_Enforced,Baseline,13,1134.9,70.8714799243438,0.6929890000000001,0.16512639263101866,10
baseline_enforced,V_Baseline_Enforced,Baseline,14,1130.0,94.76872432987115,0.668639,0.1490390643384777,10
baseline_enforced,V_Baseline_Enforced,Baseline,15,1142.5,92.14632084052214,0.647324,0.19300147047223357,10
baseline_enforced,V_Baseline_Enforced,Baseline,16,1164.2,88.00101009521299,0.667527,0.161568920006981,10
baseline_enforced,V_Baseline_Enforced,Baseline,17,1164.1,83.35259777328812,0.679184,0.18382138372767068,10
baseline_enforced,V_Baseline_Enforced,Baseline,18,1158.4,77.52160989040411,0.698682,0.12097203081704465,10
baseline_enforced,V_Baseline_Enforced,Baseline,19,1142.7,55.3916359510471,0.638823,0.08393211172661444,10
baseline_enforced,V_Baseline_Enforced,Baseline,20,1131.6,91.45757972354664,0.682939,0.17032094778518714,10
baseline_enforced,V_Baseline_Enforced,Baseline,21,1198.8,85.04874419348523,0.5975,0.149330608754907,10
baseline_enforced,V_Baseline_Enforced,Baseline,22,1167.4,79.46655480976467,0.6973710000000001,0.15809100476553933,10
baseline_enforced,V_Baseline_Enforced,Baseline,23,1154.0,50.97929863080591,0.651068,0.12542919505973613,10
baseline_enforced,V_Baseline_Enforced,Baseline,24,1156.3,79.57253853490468,0.652051,0.1385544956927298,10
baseline_enforced,V_Baseline_Enforced,Baseline,25,1153.4,96.08121564593154,0.6693560000000001,0.17949365338207487,10
baseline_enforced,V_Baseline_Enforced,Baseline,26,1133.9,94.28614838764906,0.695796,0.14652697030467352,10
baseline_enforced,V_Baseline_Enforced,Baseline,27,1131.2,93.87911849228713,0.684546,0.14948512896680466,10
baseline_enforced,V_Baseline_Enforced,Baseline,28,1169.0,73.08442606556703,0.6673220000000001,0.14818089468994008,10
baseline_enforced,V_Baseline_Enforced,Baseline,29,1171.7,110.30568636495784,0.6233839999999999,0.18878325780287472,10
baseline_enforced,V_Baseline_Enforced,Baseline,30,1145.4,81.53962908372291,0.6959690000000001,0.14104453138006529,10
baseline_enforced,V_Baseline_Enforced,Baseline,31,1171.1,37.60747561618862,0.598334,0.08429101272773194,10
baseline_enforced,V_Baseline_Enforced,Baseline,32,1128.6,76.15364586004912,0.6488609999999999,0.15051490176871007,10
baseline_enforced,V_Baseline_Enforced,Baseline,33,1113.7,56.7882030002711,0.688047,0.1182365614680069,10
baseline_enforced,V_Baseline_Enforced,Baseline,34,1198.7,70.34368012361405,0.609411,0.13842754706985808,10
baseline_enforced,V_Baseline_Enforced,Baseline,35,1135.2,48.5633606744838,0.636238,0.128110401069633,10
baseline_enforced,V_Baseline_Enforced,Baseline,36,1170.1,79.06600618049032,0.6427599999999999,0.16631558228593948,10
baseline_enforced,V_Baseline_Enforced,Baseline,37,1174.8,77.07975667377842,0.588402,0.13620745866345044,10
baseline_enforced,V_Baseline_Enforced,Baseline,38,1115.9,78.29921242686076,0.707057,0.1261919937634714,10
baseline_enforced,V_Baseline_Enforced,Baseline,39,1127.0,65.438690560113,0.68103,0.11254401963478805,10
baseline_enforced,V_Baseline_Enforced,Baseline,40,1125.5,80.18208444949948,0.694696,0.14655513146935525,10
baseline_enforced,V_Baseline_Enforced,Baseline,41,1171.0,86.53579862949462,0.5945199999999999,0.15337114635202195,10
baseline_enforced,V_Baseline_Enforced,Baseline,42,1147.0,103.38815749935343,0.649269,0.17583885498123306,10
baseline_enforced,V_Baseline_Enforced,Baseline,43,1161.8,97.67610875860187,0.671141,0.14719712885560415,10
baseline_enforced,V_Baseline_Enforced,Baseline,44,1168.3,99.19346976713963,0.6415900000000001,0.1743177973319611,10
baseline_enforced,V_Baseline_Enforced,Baseline,45,1174.4,54.68739444434257,0.601725,0.122317118112443,10
baseline_enforced,V_Baseline_Enforced,Baseline,46,1132.5,83.70483856982223,0.700206,0.14498327276697207,10
baseline_enforced,V_Baseline_Enforced,Baseline,47,1151.6,101.07774785337826,0.6560509999999999,0.17045819881523253,10
baseline_enforced,V_Baseline_Enforced,Baseline,48,1162.8,70.56092717959739,0.647674,0.13282158184739576,10
baseline_enforced,V_Baseline_Enforced,Baseline,49,1155.7,90.7622657765268,0.6586540000000001,0.16492087632828323,10
baseline_control,V_Baseline_Control,Baseline,50,1409.7,62.66498224686575,0.19271200000000002,0.05082772664162302,10
