Regime,Label,Theme,run,Avg_Reward,Std_Reward,Avg_Alignment,Std_Alignment,N_agents
baseline_control,V_Baseline_Control,Baseline,49,1434.7,55.31736717443367,0.155192,0.09895282566287164,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,50,1085.1,77.06195198958072,0.7211909999999999,0.08471381291671914,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,51,1152.5,74.27464050550647,0.564179,0.13483212306420156,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,52,1143.7,80.58266976631307,0.6535719999999999,0.16348007964275035,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,53,1148.7,104.28491954469948,0.630266,0.1801615827343147,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,54,1125.3,88.44841560040643,0.644936,0.14510866535117742,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,55,1103.7,108.88735259687213,0.694407,0.14890843876169155,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,56,1142.7,97.8695844251704,0.6118129999999999,0.13489750743517176,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,57,1141.5,99.67753563923574,0.629335,0.1311605222830237,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,58,1127.0,90.81727686832377,0.6555690000000001,0.12576820852928877,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,59,1116.4,102.97486208887206,0.660647,0.14529227478507667,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,60,1168.0,97.08415593356793,0.6197800000000001,0.11875747602197981,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,61,1146.0,96.39386794696941,0.65893,0.15897662315922778,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,62,1119.7,107.3251032041329,0.686066,0.17442266527031397,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,63,1111.9,78.23958929680889,0.682403,0.14394425333363528,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,64,1082.1,102.18876868053772,0.710907,0.18941703021229225,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,65,1120.3,100.99070364257406,0.669517,0.15342572789101863,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,66,1156.9,107.91297934498478,0.6017870000000001,0.15937951402234854,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,67,1104.3,67.06058620547708,0.6584340000000001,0.11872853042878016,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,68,1133.1,64.21915602061429,0.62486,0.1309834480637407,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,69,1150.8,75.95437226826819,0.6252850000000001,0.13615958653563676,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,70,1115.3,55.17658521107985,0.667455,0.11796495941592149,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,71,1131.7,75.94449727706852,0.6531119999999999,0.16893856035060004,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,72,1167.2,91.74093960713506,0.601969,0.15454616630997714,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,73,1104.6,92.62613022252414,0.696399,0.1652592950117414,10
memory_coordination,V_Memory_Coordination,Multi-Agent Cooperation,74,1122.5,56.47073971929573,0.6577119999999999,0.1239493148024627,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,75,1181.1,99.57180546944222,0.5710750000000001,0.09996051345406345,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,76,1226.8,125.2373746131721,0.697783,0.1359617845041597,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,77,1133.6,104.0034187472273,0.746123,0.12793533297464518,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,78,1187.3,111.5995320579596,0.636992,0.1449445010110192,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,79,1147.5,113.85492718562709,0.717812,0.13027812571571637,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,80,1104.0,79.51519770878186,0.6555160000000001,0.14381086477268212,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,81,1161.5,91.52807705228429,0.6340399999999999,0.13166783687243694,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,82,1214.2,140.2852649267041,0.6054050000000001,0.19268121059580945,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,83,1177.8,120.73736418818787,0.6885399999999999,0.1489594674175943,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,84,1231.1,91.08414912717922,0.6510450000000001,0.09060282890481705,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,85,1235.1,143.12034563028882,0.6027890000000001,0.15278439641461353,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,86,1182.9,116.61184426215985,0.635401,0.14750765331933724,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,87,1197.4,142.43844674494002,0.7089480000000001,0.12270459140191581,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,88,1183.2,120.22183199772365,0.6863499999999999,0.14236674681961375,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,89,1273.7,146.36791542775578,0.5770850000000001,0.11322167040809811,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,90,1112.2,88.35509165985978,0.651584,0.1663606439970437,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,91,1217.7,95.1011741953449,0.6312519999999999,0.16499766993640982,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,92,1159.3,99.578054253379,0.633002,0.16096733366328295,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,93,1234.6,124.37327329901352,0.6307769999999999,0.13502954088725258,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,94,1178.9,113.58741127431331,0.679697,0.16350697124451777,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,95,1198.1,135.38459620240735,0.704853,0.19247760603076228,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,96,1237.3,112.25175079060263,0.690247,0.16912001642817642,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,97,1148.5,86.91151311023823,0.6914520000000001,0.15642002633934055,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,98,1215.8,135.9287395006009,0.601746,0.16758933512872734,10
dynamic_beliefs,V_Dynamic_Beliefs,Dynamic Beliefs,99,1228.0,104.59870404975814,0.6740799999999999,0.11095307216216331,10
