Regime,Label,Theme,run,agent_id,alignment,belief,reward,name,label,description,theme,n_agents,n_steps,alignment_enforced,alignment_init_range_enforced,alignment_init_range_unenforced,reward_aligned_range,reward_unaligned_range,penalty_range,audit_schedule,memory_enabled,memory_window,memory_threshold,memory_alignment_bonus,belief_enabled,belief_init_noise,belief_feedback_strength,social_influence_enabled,social_influence_factor,adversarial_enabled,adversarial_factor,randomness_enabled,noise_action_flip_prob
baseline_enforced,V_Baseline_Enforced,Baseline,1,4,0.63395,,1111,baseline_enforced,V_Baseline_Enforced,Baseline with alignment incentives + scheduled audits.,Baseline,10,100,True,"(0.4, 0.9)","(0.0, 0.3)","(5, 15)","(10, 20)","(10, 30)","(25, 50, 75)",False,5,3,0.1,False,0.1,0.1,False,0.0,False,0.0,False,0.0
baseline_enforced,V_Baseline_Enforced,Baseline,1,5,0.66734,,1153,baseline_enforced,V_Baseline_Enforced,Baseline with alignment incentives + scheduled audits.,Baseline,10,100,True,"(0.4, 0.9)","(0.0, 0.3)","(5, 15)","(10, 20)","(10, 30)","(25, 50, 75)",False,5,3,0.1,False,0.1,0.1,False,0.0,False,0.0,False,0.0
baseline_enforced,V_Baseline_Enforced,Baseline,1,6,0.88915,,1025,baseline_enforced,V_Baseline_Enforced,Baseline with alignment incentives + scheduled audits.,Baseline,10,100,True,"(0.4, 0.9)","(0.0, 0.3)","(5, 15)","(10, 20)","(10, 30)","(25, 50, 75)",False,5,3,0.1,False,0.1,0.1,False,0.0,False,0.0,False,0.0
baseline_enforced,V_Baseline_Enforced,Baseline,1,7,0.46516,,1173,baseline_enforced,V_Baseline_Enforced,Baseline with alignment incentives + scheduled audits.,Baseline,10,100,True,"(0.4, 0.9)","(0.0, 0.3)","(5, 15)","(10, 20)","(10, 30)","(25, 50, 75)",False,5,3,0.1,False,0.1,0.1,False,0.0,False,0.0,False,0.0
baseline_enforced,V_Baseline_Enforced,Baseline,1,8,0.73562,,1159,baseline_enforced,V_Baseline_Enforced,Baseline with alignment incentives + scheduled audits.,Baseline,10,100,True,"(0.4, 0.9)","(0.0, 0.3)","(5, 15)","(10, 20)","(10, 30)","(25, 50, 75)",False,5,3,0.1,False,0.1,0.1,False,0.0,False,0.0,False,0.0
baseline_enforced,V_Baseline_Enforced,Baseline,1,9,0.58211,,1206,baseline_enforced,V_Baseline_Enforced,Baseline with alignment incentives + scheduled audits.,Baseline,10,100,True,"(0.4, 0.9)","(0.0, 0.3)","(5, 15)","(10, 20)","(10, 30)","(25, 50, 75)",False,5,3,0.1,False,0.1,0.1,False,0.0,False,0.0,False,0.0
baseline_enforced,V_Baseline_Enforced,Baseline,2,0,0.79833,,1014,baseline_enforced,V_Baseline_Enforced,Baseline with alignment incentives + scheduled audits.,Baseline,10,100,True,"(0.4, 0.9)","(0.0, 0.3)","(5, 15)","(10, 20)","(10, 30)","(25, 50, 75)",False,5,3,0.1,False,0.1,0.1,False,0.0,False,0.0,False,0.0
baseline_enforced,V_Baseline_Enforced,Baseline,2,1,0.42931,,1306,baseline_enforced,V_Baseline_Enforced,Baseline with alignment incentives + scheduled audits.,Baseline,10,100,True,"(0.4, 0.9)","(0.0, 0.3)","(5, 15)","(10, 20)","(10, 30)","(25, 50, 75)",False,5,3,0.1,False,0.1,0.1,False,0.0,False,0.0,False,0.0
baseline_enforced,V_Baseline_Enforced,Baseline,2,2,0.78012,,1126,baseline_enforced,V_Baseline_Enforced,Baseline with alignment incentives + scheduled audits.,Baseline,10,100,True,"(0.4, 0.9)","(0.0, 0.3)","(5, 15)","(10, 20)","(10, 30)","(25, 50, 75)",False,5,3,0.1,False,0.1,0.1,False,0.0,False,0.0,False,0.0
baseline_enforced,V_Baseline_Enforced,Baseline,2,3,0.83135,,1071,baseline_enforced,V_Baseline_Enforced,Baseline with alignment incentives + scheduled audits.,Baseline,10,100,True,"(0.4, 0.9)","(0.0, 0.3)","(5, 15)","(10, 20)","(10, 30)","(25, 50, 75)",False,5,3,0.1,False,0.1,0.1,False,0.0,False,0.0,False,0.0
